_time,label,cycle_id
2023-12-12 07:41:51.548,Normal,5_150
2023-12-12 12:19:27.242,Normal,5_206
2023-12-12 09:09:46.955,Normal,5_167
2023-12-12 09:29:27.038,Normal,5_171
2023-12-12 15:56:18.846,Normal,5_249
2023-12-12 13:35:43.360,Normal,5_221
2023-12-12 14:25:38.842,Normal,5_231
2023-12-11 13:05:57.541,Normal,0_1
2023-12-12 14:42:56.053,Normal,5_235
2023-12-12 04:46:19.244,Normal,5_115
2023-12-12 10:47:07.348,Normal,5_187
2023-12-12 14:16:07.761,Normal,5_229
2023-12-12 10:48:52.444,Normal,5_187
2023-12-12 05:02:38.663,Normal,5_118
2023-12-12 08:00:09.341,Normal,5_154
2023-12-12 14:55:41.655,Normal,5_237
2023-12-12 13:02:01.668,Normal,5_214
2023-12-12 05:14:39.348,Normal,5_120
2023-12-12 09:57:16.452,Normal,5_177
2023-12-12 05:15:26.950,Normal,5_121
2023-12-11 13:04:15.334,Normal,0_1
2023-12-12 13:32:50.984,Normal,5_221
2023-12-12 05:23:42.455,Normal,5_122
2023-12-12 10:15:48.252,Normal,5_181
2023-12-12 05:03:58.756,Normal,5_118
2023-12-12 10:28:49.040,Normal,5_183
2023-12-12 13:30:58.741,Normal,5_220
2023-12-12 11:30:54.848,Normal,5_196
2023-12-12 05:28:46.457,Normal,5_123
2023-12-12 06:09:24.344,Normal,5_131
2023-12-12 11:30:53.064,Normal,5_196
2023-12-12 14:29:57.353,Normal,5_232
2023-12-12 13:04:49.960,Normal,5_215
2023-12-12 11:01:50.149,Normal,5_190
2023-12-12 13:42:59.236,Normal,5_223
2023-12-12 15:27:37.764,Normal,5_243
2023-12-11 13:08:08.147,Normal,0_1
2023-12-12 10:28:35.845,Normal,5_183
2023-12-12 12:53:46.018,Normal,5_213
2023-12-12 11:17:53.869,Normal,5_193
2023-12-12 14:07:31.342,Normal,5_227
2023-12-12 09:59:56.755,Normal,5_178
2023-12-12 04:56:56.851,Normal,5_117
2023-12-12 11:33:39.450,Normal,5_196
2023-12-12 07:30:56.639,Normal,5_148
2023-12-11 14:14:50.692,Normal,1_6
2023-12-12 08:38:57.847,Normal,5_161
2023-12-12 10:03:37.374,Normal,5_178
2023-12-12 12:30:45.133,Normal,5_208
2023-12-12 14:50:45.422,Normal,5_236
2023-12-12 15:36:31.012,Normal,5_245
2023-12-11 14:15:32.141,Normal,1_6
2023-12-12 10:12:10.750,Normal,5_180
2023-12-11 13:12:41.535,Normal,0_2
2023-12-12 07:48:52.244,Normal,5_151
2023-12-12 15:16:57.343,Normal,5_241
2023-12-12 11:47:46.550,Normal,5_199
2023-12-12 08:41:16.347,Normal,5_162
2023-12-12 12:54:44.577,Normal,5_213
2023-12-12 13:45:27.960,Normal,5_223
2023-12-11 15:35:25.887,Normal,2_14
2023-12-12 14:42:04.396,Normal,5_234
2023-12-12 05:42:17.745,Normal,5_126
2023-12-12 11:29:08.561,Normal,5_195
2023-12-12 15:43:30.860,Normal,5_246
2023-12-12 05:18:42.344,Normal,5_121
2023-12-12 05:21:14.842,Normal,5_122
2023-12-11 14:01:53.455,Normal,1_3
2023-12-12 10:29:02.850,Normal,5_183
2023-12-12 10:33:32.543,Normal,5_184
2023-12-12 09:06:15.341,Normal,5_167
2023-12-12 09:21:27.739,Normal,5_170
2023-12-12 15:13:42.643,Normal,5_240
2023-12-12 09:36:11.854,Normal,5_173
2023-12-12 06:50:12.418,Normal,5_139
2023-12-11 14:56:04.837,Normal,2_6
2023-12-12 14:00:00.278,Normal,5_226
2023-12-12 11:58:15.358,Normal,5_201
2023-12-12 08:35:59.946,Normal,5_161
2023-12-12 15:38:32.258,Normal,5_245
2023-12-12 13:45:27.550,Normal,5_223
2023-12-12 11:33:17.840,Normal,5_196
2023-12-12 09:29:31.241,Normal,5_171
2023-12-11 14:41:36.961,Normal,2_3
2023-12-12 05:39:39.249,Normal,5_125
2023-12-12 08:50:10.801,Normal,5_163
2023-12-12 14:39:09.649,Normal,5_234
2023-12-12 15:36:52.950,Normal,5_245
2023-12-12 07:52:40.148,Normal,5_152
2023-12-12 08:56:01.248,Normal,5_165
2023-12-12 07:46:46.342,Normal,5_151
2023-12-12 07:26:23.052,Normal,5_147
